;;;;Jahres-;maximaler;Zahl der ;Zahl der 
;;;;mittelwert;Stundenwert;Stundenwerte;Stundenwerte
Station;Name/Messnetz;Emissinsquelltyp;Umgebungstyp;in µg/m³;in µg/m³;> 230 µg/m³;> 200 µg/m³
DEHE045;Michelstadt;städtisches Gebiet;Hintergrund;20;104;0;0
DEHE046;Bad Arolsen;ländliches Gebiet;Hintergrund;11;76;0;0
DEHE049;Kassel-Fünffenster-Str.;städtisches Gebiet;Verkehr;51;175;0;0
DEHE051;Wasserkuppe;ländliches Gebiet;Hintergrund;7;61;0;0
DEHE052;Kleiner Feldberg;ländliches Gebiet;Hintergrund;10;87;0;0
DEHE058;Fulda-Mitte;städtisches Gebiet;Hintergrund;26;100;0;0
DEHE059;Fulda-Petersberger Str.;städtisches Gebiet;Verkehr;47;149;0;0
DEHE060;Kellerwald;ländlich regional;Hintergrund;8;63;0;0
DEHE061;Gießen-Westanlage;städtisches Gebiet;Verkehr;52;168;0;0
DEHE062;Marburg-Univers.Straße;städtisches Gebiet;Verkehr;51;182;0;0
DEHE063;Heppenheim-Lehrstraße;städtisches Gebiet;Verkehr;34;170;0;0
;Hamburg;;;;;;
DEHH008;Hamburg Sternschanze;städtisches Gebiet;Hintergrund;30;160;0;0
DEHH015;Hamburg Veddel;städtisches Gebiet;Hintergrund;40;213;0;1
DEHH016;Hamburg Billbrook;städtisches Gebiet;Industrie;31;137;0;0
DEHH021;Hamburg Tatenberg;vorstädtisches Gebiet;Hintergrund;18;96;0;0
DEHH026;Hamburg Stresemannstraße;städtisches Gebiet;Verkehr;65;243;5;18
DEHH033;Hamburg Flughafen Nord;städtisches Gebiet;Hintergrund;22;120;0;0
DEHH047;Hamburg Bramfeld;vorstädtisches Gebiet;Hintergrund;17;87;0;0
DEHH049;Hamburg Blankenese-Baursberg;vorstädtisches Gebiet;Hintergrund;17;106;0;0
DEHH050;Hamburg Neugraben;vorstädtisches Gebiet;Hintergrund;16;102;0;0
DEHH059;Hamburg Wilhelmsburg;städtisches Gebiet;Hintergrund;29;111;0;0
DEHH064;Hamburg Kieler Straße;städtisches Gebiet;Verkehr;58;198;0;0
DEHH068;Hamburg Habichtstraße;städtisches Gebiet;Verkehr;61;256;3;18
DEHH070;Hamburg Max-Brauer-Allee II (Straße);städtisches Gebiet;Verkehr;72;213;0;4
DEHH072;Hamburg Finkenwerder West;städtisches Gebiet;Industrie;22;132;0;0
DEHH073;Hamburg Finkenwerder Airbus;ländlich stadtnah;Industrie;20;134;0;0
DEHH074;Hamburg Billstedt;städtisches Gebiet;Hintergrund;31;132;0;0
DEHH075;Hamburg Billwerder II;ländlich stadtnah;Verkehr;30;156;0;0
;Mecklenburg-Vorpommern;;;;;;
DEMV002;Rostock;städtisches Gebiet;Verkehr;23;132;0;0
DEMV003;Neubrandenburg;städtisches Gebiet;Verkehr;25;133;0;0
DEMV004;Gülzow;ländliches Gebiet;Hintergrund;7;45;0;0
DEMV005;Schwerin;städtisches Gebiet;Verkehr;25;122;0;0
DEMV006;Stralsund;städtisches Gebiet;Verkehr;20;105;0;0
