Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert in µg/m³;Zahl* der Stundenwerte > 200 µg/m³
DEBB029;Schwedt (Oder);vorstädtisches Gebiet;Industrie;12;0
DEBB066;Spreewald;ländlich regional;Hintergrund;8;0
DEBB083;Spremberg;vorstädtisches Gebiet;Hintergrund;15;0
DEBB063;Wittenberge;vorstädtisches Gebiet;Hintergrund;13;0
;Bremen;;;;
DEHB006;Bremen Verkehr 1;städtisches Gebiet;Verkehr;46;0
DEHB004;Bremen-Nord;städtisches Gebiet;Hintergrund;22;0
DEHB002;Bremen-Ost;städtisches Gebiet;Hintergrund;22;0
DEHB011;Cherbourger Straße;städtisches Gebiet;Verkehr;47;0
;Hamburg;;;;
DEHH016;Hamburg Billbrook;städtisches Gebiet;Industrie;26;0
DEHH074;Hamburg Billstedt;städtisches Gebiet;Hintergrund;32;0
DEHH049;Hamburg Blankenese-Baursberg;vorstädtisches Gebiet;Hintergrund;18;0
DEHH047;Hamburg Bramfeld;vorstädtisches Gebiet;Hintergrund;18;0
DEHH073;Hamburg Finkenwerder Airbus;ländlich stadtnah;Industrie;20;0
DEHH072;Hamburg Finkenwerder West;städtisches Gebiet;Industrie;22;0
DEHH033;Hamburg Flughafen Nord;städtisches Gebiet;Hintergrund;22;0
DEHH068;Hamburg Habichtstraße;städtisches Gebiet;Verkehr;60;21
DEHH076;Hamburg Heimfeld;städtisches Gebiet;Hintergrund;27;0
DEHH064;Hamburg Kieler Straße;städtisches Gebiet;Verkehr;53;1
DEHH070;Hamburg Max-Brauer-Allee II (Straße);städtisches Gebiet;Verkehr;70;11
DEHH050;Hamburg Neugraben;vorstädtisches Gebiet;Hintergrund;16;0
DEHH008;Hamburg Sternschanze;städtisches Gebiet;Hintergrund;29;0
DEHH026;Hamburg Stresemannstraße;städtisches Gebiet;Verkehr;66;1
DEHH021;Hamburg Tatenberg;vorstädtisches Gebiet;Hintergrund;17;0
DEHH015;Hamburg Veddel;städtisches Gebiet;Industrie;38;0
DEHH059;Hamburg Wilhelmsburg;städtisches Gebiet;Hintergrund;30;0
;Hessen;;;;
DEHE046;Bad Arolsen;ländliches Gebiet;Hintergrund;10;0
DEHE032;Bebra;städtisches Gebiet;Hintergrund;18;0
DEHE001;Darmstadt;städtisches Gebiet;Hintergrund;27;0
DEHE040;Darmstadt-Hügelstraße;städtisches Gebiet;Verkehr;65;43
DEHE041;Frankfurt-Friedb.Ldstr.;städtisches Gebiet;Verkehr;56;5
DEHE005;Frankfurt-Höchst;städtisches Gebiet;Verkehr;48;0
DEHE008;Frankfurt-Ost;städtisches Gebiet;Hintergrund;35;0
DEHE009;Frankfurt-Sindlingen;städtisches Gebiet;Hintergrund;33;0
DEHE058;Fulda-Mitte;städtisches Gebiet;Hintergrund;28;0
DEHE059;Fulda-Petersberger Str.;städtisches Gebiet;Verkehr;43;0
DEHE028;Fürth/Odenwald;ländliches Gebiet;Hintergrund;11;0
DEHE061;Gießen-Westanlage;städtisches Gebiet;Verkehr;46;0
DEHE023;Grebenau;ländliches Gebiet;Hintergrund;11;0
DEHE011;Hanau;städtisches Gebiet;Verkehr;38;0
DEHE063;Heppenheim-Lehrstraße;städtisches Gebiet;Verkehr;37;0
DEHE049;Kassel-Fünffenster-Str.;städtisches Gebiet;Verkehr;51;0
DEHE013;Kassel-Mitte;städtisches Gebiet;Hintergrund;25;0
DEHE060;Kellerwald;ländlich regional;Hintergrund;8;0
DEHE052;Kleiner Feldberg;ländliches Gebiet;Hintergrund;9;0
DEHE044;Limburg;städtisches Gebiet;Hintergrund;28;0
DEHE098;Limburg Diezer Str. 49;städtisches Gebiet;Verkehr;47;---
DEHE101;Limburg Frankfurter Str. 52;städtisches Gebiet;Verkehr;59;---
DEHE099;Limburg Schiede 28-30;städtisches Gebiet;Verkehr;65;---
DEHE100;Limburg Schiede 37-41;städtisches Gebiet;Verkehr;52;---
DEHE042;Linden/Leihgestern;ländliches Gebiet;Hintergrund;20;0
DEHE030;Marburg;städtisches Gebiet;Hintergrund;23;0
DEHE062;Marburg-Univers.Straße;städtisches Gebiet;Verkehr;46;0
DEHE045;Michelstadt;städtisches Gebiet;Hintergrund;20;0
DEHE103;Offenbach Bieberer Str. 86;städtisches Gebiet;Verkehr;45;---
DEHE104;Offenbach Mainstr. 133;städtisches Gebiet;Verkehr;53;---
DEHE102;Offenbach Untere Grenzstr. 61;städtisches Gebiet;Verkehr;50;---
DEHE018;Raunheim;städtisches Gebiet;Hintergrund;33;0
DEHE043;Riedstadt;ländlich stadtnah;Hintergrund;21;0
DEHE026;Spessart;ländlich regional;Hintergrund;9;0
DEHE051;Wasserkuppe;ländliches Gebiet;Hintergrund;7;0
DEHE020;Wetzlar;städtisches Gebiet;Verkehr;33;0
DEHE105;Wetzlar Linsenbergstr.;städtisches Gebiet;Verkehr;31;---
