;;;;Jahres-;maximaler;Zahl der ;Zahl der ;;
;;;;mittelwert;Stundenwert;Stundenwerte;Stundenwerte;;
Station;Name/Messnetz;Umgebungstyp;Emissinsquelltyp;in µg/m³;in µg/m³;> 290 µg/m³;> 200 µg/m³;;
'DEBY063';Regensburg/Rathaus;städtisches Gebiet;Verkehr;44;137;0;0;;
'DEBY067';Schwandorf/Wackersdorfer Straße;städtisches Gebiet;Hintergrund;30;98;0;0;;
'DEBY068';Schweinfurt/Obertor;städtisches Gebiet;Verkehr;32;600;3;6;;
'DEBY069';Selb/Jean-Paul-Straße;vorstädtisches Gebiet;Hintergrund;20;88;0;0;;
'DEBY072';Tiefenbach/Altenschneeberg;ländlich regional;Hintergrund;10;48;0;0;;
'DEBY075';Würzburg/Kardinal-Faulhaber-Platz;städtisches Gebiet;Verkehr;31;93;0;0;;
'DEBY076';Würzburg/Kardinal-Faulhaber-Platz;städtisches Gebiet;Verkehr;36;129;0;0;;
'DEBY078';Würzburg/Theodor-Heuss-Damm;städtisches Gebiet;Verkehr;34;119;0;0;;
'DEBY079';Bad Reichenhall/Nonn;vorstädtisches Gebiet;Hintergrund;18;81;0;0;;
'DEBY081';Garmisch-Partenkirchen/Kreuzeckbahnstraße;ländlich stadtnah;Hintergrund;10;78;0;0;;
'DEBY082';Garmisch-Partenkirchen/Wankgipfel;ländlich Hintergrund;Hintergrund;3;47;0;0;;
'DEBY085';München/Luise-Kiesselbach-Platz;städtisches Gebiet;Verkehr;67;273;0;2;;
'DEBY088';Trostberg/Schwimmbadstraße;vorstädtisches Gebiet;Industrie;21;77;0;0;;
'DEBY089';München/Johanneskirchen;vorstädtisches Gebiet;Hintergrund;27;100;0;0;;
'DEBY099';Augsburg/LfU;vorstädtisches Gebiet;Hintergrund;24;86;0;0;;
;Bremen;;;;;;;;
'DEHB001';Bremen-Mitte ;städtisches Gebiet;Hintergrund;27;140;0;0;;
'DEHB002';Bremen-Ost;städtisches Gebiet;Hintergrund;22;125;0;0;;
'DEHB003';Bremen-West;städtisches Gebiet;Hintergrund;33;137;0;0;;
'DEHB004';Bremen-Nord;städtisches Gebiet;Hintergrund;26;104;0;0;;
'DEHB005';Bremerhaven;städtisches Gebiet;Hintergrund;23;101;0;0;;
'DEHB006';Bremen Verkehr 1;städtisches Gebiet;Verkehr;63;213;0;2;;
'DEHB007';Bremen Verkehr 2;städtisches Gebiet;Verkehr;54;160;0;0;;
;Hessen;;;;;;;;
'DEHE001';Darmstadt ;städtisches Gebiet;Hintergrund;34;116;0;0;;
'DEHE005';Frankfurt-Höchst;städtisches Gebiet;Verkehr;47;131;0;0;;
'DEHE008';Frankfurt-Ost;städtisches Gebiet;Hintergrund;39;142;0;0;;
'DEHE010';Gießen ;städtisches Gebiet;Hintergrund;39;144;0;0;;
'DEHE011';Hanau ;städtisches Gebiet;Verkehr;47;173;0;0;;
'DEHE014';Kassel-Nord;städtisches Gebiet;Verkehr;32;126;0;0;;
'DEHE017';Offenbach ;städtisches Gebiet;Hintergrund;40;185;0;0;;
'DEHE018';Raunheim;städtisches Gebiet;Hintergrund;37;129;0;0;;
'DEHE019';Viernheim ;vorstädtisches Gebiet;Hintergrund;34;103;0;0;;
'DEHE020';Wetzlar ;städtisches Gebiet;Verkehr;36;121;0;0;;
'DEHE022';Wiesbaden-Süd ;städtisches Gebiet;Hintergrund;36;129;0;0;;
'DEHE023';Grebenau;ländliches Gebiet;Hintergrund;12;87;0;0;;
'DEHE024';Witzenhausen/Wald;ländlich regional;Hintergrund;10;67;0;0;;
'DEHE025';Königstein;ländliches Gebiet;Hintergrund;14;105;0;0;;
'DEHE026';Spessart;ländlich regional;Hintergrund;11;96;0;0;;
'DEHE027';Frankenberg;ländlich regional;Hintergrund;10;90;0;0;;
'DEHE028';Fürth/Odenwald;ländlich regional;Hintergrund;13;95;0;0;;
'DEHE029';Dillenburg;städtisches Gebiet;Hintergrund;38;96;0;0;;
'DEHE030';Marburg;städtisches Gebiet;Hintergrund;30;97;0;0;;
'DEHE031';Fulda;städtisches Gebiet;Verkehr;35;153;0;0;;
'DEHE032';Bebra;städtisches Gebiet;Hintergrund;20;89;0;0;;
'DEHE033';Borken;vorstädtisches Gebiet;Hintergrund;17;101;0;0;;
'DEHE034';Nidda;ländlich regional;Hintergrund;22;91;0;0;;
'DEHE037';Wiesbaden-Ringkirche;städtisches Gebiet;Verkehr;57;202;0;1;;
'DEHE040';Darmstadt-Hügelstraße ;städtisches Gebiet;Verkehr;62;237;0;10;;
'DEHE041';Frankfurt-Friedb.Ldstr. ;städtisches Gebiet;Verkehr;65;234;0;2;;
'DEHE042';Linden/Leihgestern;ländliches Gebiet;Hintergrund;24;85;0;0;;
'DEHE043';Riedstadt;ländlich regional;Hintergrund;27;117;0;0;;
'DEHE044';Limburg ;städtisches Gebiet;Hintergrund;32;134;0;0;;
'DEHE045';Michelstadt;städtisches Gebiet;Hintergrund;22;101;0;0;;
'DEHE046';Bad Arolsen;ländliches Gebiet;Hintergrund;12;71;0;0;;
'DEHE048';Lampertheim;ländlich regional;Hintergrund;21;99;0;0;;
'DEHE049';Kassel-Fünffenster-Str. ;städtisches Gebiet;Verkehr;49;171;0;0;;
'DEHE050';Zierenberg;ländliches Gebiet;Hintergrund;13;86;0;0;;
'DEHE051';Wasserkuppe;ländliches Gebiet;Hintergrund;8;71;0;0;;
