Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert in µg/m³;"Zahl der Stundenwerte 
> 200 µg/m³";Stadt;;;;;
DEBY118;Passau/Stelzhamerstraße;städtisches Gebiet;Hintergrund;29;0;Passau/Stelzhamerstraße;;;;;
DEBY063;Regensburg/Rathaus;städtisches Gebiet;Verkehr;35;0;Regensburg/Rathaus;;;;;
DEBY030;Saal a.d. Donau/Regensburger Straße;vorstädtisches Gebiet;Hintergrund;16;0;Saal;a.d.;Donau/Regensburger;Straße;;
DEBY188;Schwabach/Angerstraße;städtisches Gebiet;Hintergrund;21;0;Schwabach/Angerstraße;;;;;
DEBY067;Schwandorf/Wackersdorfer Straße;vorstädtisches Gebiet;Hintergrund;18;0;Schwandorf/Wackersdorfer;Straße;;;;
DEBY068;Schweinfurt/Obertor;städtisches Gebiet;Hintergrund;21;0;Schweinfurt/Obertor;;;;;
DEBY072;Tiefenbach/Altenschneeberg;ländlich regional;Hintergrund;6;0;Tiefenbach/Altenschneeberg;;;;;
DEBY088;Trostberg/Schwimmbadstraße;vorstädtisches Gebiet;Hintergrund;17;0;Trostberg/Schwimmbadstraße;;;;;
DEBY075;Weiden i.d.OPf./Nikolaistraße;städtisches Gebiet;Hintergrund;23;0;Weiden;i.d.OPf./Nikolaistraße;;;;
DEBY119;Würzburg/Stadtring Süd;städtisches Gebiet;Verkehr;30;0;Würzburg/Stadtring;Süd;;;;
;Berlin;;;;;Berlin;;;;;
DEBE051;Berlin Buch;vorstädtisches Gebiet;Hintergrund;14;0;Berlin;Buch;;;;
DEBE065;Berlin Frankfurter Allee;städtisches Gebiet;Verkehr;35;0;Berlin;Frankfurter;Allee;;;
DEBE056;Berlin Friedrichshagen;ländlich stadtnah;Hintergrund;11;0;Berlin;Friedrichshagen;;;;
DEBE062;Berlin Frohnau (3.5 m);ländlich stadtnah;Hintergrund;11;0;Berlin;Frohnau;(3.5;m);;
DEBE032;Berlin Grunewald (3.5 m);ländlich stadtnah;Hintergrund;13;0;Berlin;Grunewald;(3.5;m);;
DEBE067;Berlin Hardenbergplatz;städtisches Gebiet;Verkehr;34;0;Berlin;Hardenbergplatz;;;;
DEBE084;Berlin Hauptstraße;städtisches Gebiet;Verkehr;42;--- 1);Berlin;Hauptstraße;;;;
DEBE097;Berlin Herrmannplatz;städtisches Gebiet;Verkehr;45;--- 1);Berlin;Herrmannplatz;;;;
DEBE085;Berlin Herrmannstraße;städtisches Gebiet;Verkehr;45;--- 1);Berlin;Herrmannstraße;;;;
DEBE083;Berlin Kantstraße;städtisches Gebiet;Verkehr;34;--- 1);Berlin;Kantstraße;;;;
DEBE064;Berlin Karl-Marx-Straße;städtisches Gebiet;Verkehr;43;0;Berlin;Karl;Marx;Straße;;
DEBE066;Berlin Karlshorst;städtisches Gebiet;Hintergrund;18;0;Berlin;Karlshorst;;;;
DEBE096;Berlin Landsberger Allee;städtisches Gebiet;Verkehr;41;--- 1);Berlin;Landsberger;Allee;;;
DEBE082;Berlin Leipziger Straße;städtisches Gebiet;Verkehr;48;--- 1);Berlin;Leipziger;Straße;;;
DEBE069;Berlin Mariendorfer Damm;städtisches Gebiet;Verkehr;39;0;Berlin;Mariendorfer;Damm;;;
DEBE027;Berlin Marienfelde;ländlich stadtnah;Hintergrund;12;0;Berlin;Marienfelde;;;;
DEBE068;Berlin Mitte;städtisches Gebiet;Hintergrund;23;0;Berlin;Mitte;;;;
DEBE034;Berlin Neukölln;städtisches Gebiet;Hintergrund;22;0;Berlin;Neukölln;;;;
DEBE061;Berlin Schildhornstraße;städtisches Gebiet;Verkehr;39;0;Berlin;Schildhornstraße;;;;
DEBE018;Berlin Schöneberg;städtisches Gebiet;Hintergrund;21;0;Berlin;Schöneberg;;;;
DEBE063;Berlin Silbersteinstraße;städtisches Gebiet;Verkehr;40;0;Berlin;Silbersteinstraße;;;;
DEBE086;Berlin Sonnenallee;städtisches Gebiet;Verkehr;46;--- 1);Berlin;Sonnenallee;;;;
DEBE092;Berlin Spandauer Damm;städtisches Gebiet;Verkehr;48;--- 1);Berlin;Spandauer;Damm;;;
DEBE010;Berlin Wedding;städtisches Gebiet;Hintergrund;25;0;Berlin;Wedding;;;;
;Brandenburg;;;;;Brandenburg;;;;;
DEBB068;Bernau, Lohmühlenstr.;städtisches Gebiet;Verkehr;23;0;Bernau;Lohmühlenstr.;;;;
DEBB086;Blankenfelde-Mahlow;vorstädtisches Gebiet;Hintergrund;14;0;Blankenfelde;Mahlow;;;;
DEBB055;Brandenburg a.d. Havel;vorstädtisches Gebiet;Hintergrund;12;0;Brandenburg;a.d.;Havel;;;
DEBB049;Brandenburg, Neuendorfer Str.;städtisches Gebiet;Verkehr;23;0;Brandenburg;Neuendorfer;Str.;;;
DEBB064;Cottbus;städtisches Gebiet;Hintergrund;12;0;Cottbus;;;;;
DEBB044;Cottbus, Bahnhofstr.;städtisches Gebiet;Verkehr;26;0;Cottbus;Bahnhofstr.;;;;
DEBB060;Eberswalde, Breite Straße;städtisches Gebiet;Verkehr;22;0;Eberswalde;Breite;Straße;;;
DEBB032;Eisenhüttenstadt;vorstädtisches Gebiet;Industrie;11;0;Eisenhüttenstadt;;;;;
DEBB007;Elsterwerda;vorstädtisches Gebiet;Hintergrund;12;0;Elsterwerda;;;;;
DEBB092;Frankfurt (Oder);vorstädtisches Gebiet;Hintergrund;12;0;Frankfurt;(Oder);;;;
DEBB045;Frankfurt (Oder), Leipziger Str.;städtisches Gebiet;Verkehr;31;0;Frankfurt;(Oder);Leipziger;Str.;;
DEBB053;Hasenholz (Buckow);ländlich regional;Hintergrund;9;0;Hasenholz;(Buckow);;;;
DEBB065;Lütte (Belzig);ländlich regional;Hintergrund;7;0;Lütte;(Belzig);;;;
DEBB067;Nauen;vorstädtisches Gebiet;Hintergrund;12;0;Nauen;;;;;
DEBB048;Neuruppin;vorstädtisches Gebiet;Hintergrund;13;0;Neuruppin;;;;;
DEBB075;Potsdam, Groß Glienicke;vorstädtisches Gebiet;Hintergrund;13;0;Potsdam;Groß;Glienicke;;;
DEBB073;Potsdam, Großbeerenstr.;städtisches Gebiet;Verkehr;30;0;Potsdam;Großbeerenstr.;;;;
DEBB054;Potsdam, Zeppelinstr.;städtisches Gebiet;Verkehr;29;0;Potsdam;Zeppelinstr.;;;;
