Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
SCHLESWIG-HOLSTEIN;;;;;;;;;;;;;;;;;;;;;
05166  VIERSEN;165 513;114 272;45 993;4 941;255;307;11 215;37 940;32 359;70 524;9 489;12;1 259;872;6 414;14 674;18 719;4 582;12;473;
05170  WESEL;254 968;183 374;64 018;7 048;364;528;16 705;58 027;48 100;112 702;15 153;35;1 517;1 120;9 277;20 045;26 639;5 923;35;650;
RB ZUSAMMEN;2 552 810;1 831 950;668 462;48 025;4 639;4 373;171 771;567 324;460 259;1 115 348;183 529;560;14 738;9 846;85 550;192 136;282 267;88 487;560;5 828;
RB KOELN;;;;;;;;;;;;;;;;;;;;;
05314  BONN,STADT;161 426;98 856;60 985;1 364;203;221;10 416;31 085;24 754;70 854;19 502;39;1 478;719;4 906;10 698;29 756;14 032;39;581;
05315  KOELN,STADT;432 424;302 170;124 340;4 037;390;1 877;29 756;88 567;75 006;183 759;39 247;104;2 719;1 708;13 108;32 602;54 780;20 030;104;1 072;
05316  LEVERKUSEN,STADT;80 008;58 995;19 887;1 045;85;81;5 784;18 463;13 973;34 178;6 015;13;436;335;2 595;5 682;8 075;2 864;13;174;
05334  AACHEN, STAEDTEREGION;258 870;180 048;73 466;5 129;265;227;16 679;57 201;48 776;114 020;17 106;49;1 586;1 470;10 114;21 805;30 891;8 016;49;566;
05358  DUEREN;141 844;101 562;37 731;2 467;141;84;9 804;32 959;26 881;61 288;8 010;14;926;803;6 015;11 627;15 183;3 382;14;349;
05362  RHEIN-ERFT-KREIS;245 140;179 204;62 387;3 164;259;385;16 603;52 991;45 944;109 228;15 879;33;1 657;1 116;8 118;19 016;26 606;6 549;33;605;
05366  EUSKIRCHEN;121 131;81 762;37 160;2 136;182;73;7 112;25 708;21 769;47 031;17 248;5;678;571;4 775;10 421;13 541;7 330;5;234;
05370  HEINSBERG;137 355;90 475;41 485;5 283;45;112;9 280;31 983;27 785;58 869;6 969;12;1 218;883;6 272;13 395;17 096;3 209;12;454;
05374  OBERBERGISCHER KREIS;157 474;113 396;41 835;2 088;298;155;9 931;36 263;29 297;69 362;9 559;19;1 244;676;5 880;13 240;17 272;4 134;19;442;
05378  RHEIN.-BERGISCHER KREIS;160 844;117 145;41 632;1 930;220;137;10 020;35 012;29 910;71 875;10 291;46;923;649;5 534;12 706;17 657;4 341;46;324;
05382  RHEIN-SIEG-KREIS;318 791;231 246;82 250;4 922;493;373;21 048;74 199;62 152;137 268;18 099;66;2 118;1 479;11 640;26 381;33 993;7 395;66;769;
RB ZUSAMMEN;2 215 307;1 554 859;623 158;33 565;2 581;3 725;146 433;484 431;406 247;957 732;167 925;400;14 983;10 409;78 957;177 573;264 850;81 282;400;5 570;
RB MUENSTER;;;;;;;;;;;;;;;;;;;;;
05512  BOTTROP,STADT;61 133;48 120;11 877;1 045;68;91;4 326;14 012;10 407;26 651;3 324;6;294;165;1 696;3 759;4 872;1 137;6;137;
05513  GELSENKIRCHEN,STADT;113 497;88 694;22 907;1 785;203;111;9 564;28 043;19 403;46 186;6 761;13;1 004;401;3 483;7 178;9 036;2 353;13;301;
05515  MUENSTER,STADT;127 919;87 379;38 146;2 302;278;92;8 248;28 714;23 399;54 688;9 868;32;823;661;4 702;10 203;16 381;5 484;32;342;
05554  BORKEN;189 037;118 987;62 312;7 506;335;232;10 145;43 846;39 455;82 246;9 854;29;1 100;1 014;8 855;19 888;26 846;4 927;29;471;
05558  COESFELD;119 171;81 284;34 726;3 060;203;101;6 905;28 383;24 406;51 119;6 326;19;692;654;5 302;11 189;14 155;2 894;19;284;
05562  RECKLINGHAUSEN;316 881;243 246;67 241;5 962;398;432;22 134;74 982;56 535;139 567;17 781;21;1 714;1 121;10 011;21 654;27 352;6 023;21;693;
05566  STEINFURT;232 049;161 193;65 489;5 047;252;320;13 899;57 572;44 840;98 962;11 949;37;1 462;1 160;9 858;20 952;26 929;5 563;37;618;
05570  WARENDORF;148 642;106 473;38 811;3 264;403;94;10 074;38 400;28 118;61 543;7 570;13;1 066;844;6 431;12 363;15 196;3 324;13;370;
RB ZUSAMMEN;1 308 329;935 376;341 509;29 971;2 140;1 473;85 295;313 952;246 563;560 962;73 433;170;8 155;6 020;50 338;107 186;140 767;31 705;170;3 216;
RB DETMOLD;;;;;;;;;;;;;;;;;;;;;
05711  BIELEFELD,STADT;149 066;108 044;38 789;2 081;290;152;8 874;35 913;26 562;64 659;10 468;26;712;767;5 850;11 155;15 777;4 607;26;283;
05754  GUETERSLOH;195 305;140 941;51 499;2 748;290;117;12 427;49 205;35 184;82 455;12 074;49;1 158;966;8 022;15 399;20 540;5 663;49;408;
05758  HERFORD;143 916;107 699;33 853;2 174;353;190;8 673;33 835;25 852;64 369;9 058;31;859;573;4 815;10 174;14 031;3 774;31;315;
05762  HOEXTER;80 151;57 772;20 623;1 727;167;29;4 484;19 581;14 612;35 608;4 392;7;416;379;3 305;6 467;8 514;1 620;7;155;
05766  LIPPE;193 197;141 603;48 031;3 355;404;208;12 431;49 773;35 110;80 842;11 530;31;1 320;982;8 183;14 961;18 674;4 391;31;459;
05770  MINDEN-LUEBBECKE;179 670;133 490;43 029;2 848;377;303;12 179;45 788;31 876;74 935;9 717;39;1 526;880;6 999;13 038;17 239;3 982;39;547;
05774  PADERBORN;155 879;109 035;43 621;3 149;270;74;8 330;38 067;29 766;68 160;9 219;17;663;719;6 705;13 441;17 942;4 298;17;245;
RB ZUSAMMEN;1 097 184;798 584;279 445;18 082;2 151;1 073;67 398;272 162;198 962;471 028;66 458;200;6 654;5 266;43 879;84 635;112 717;28 335;200;2 412;
RB ARNSBERG;;;;;;;;;;;;;;;;;;;;;
05911  BOCHUM,STADT;188 081;137 197;48 365;2 198;405;321;11 669;39 146;29 456;88 159;16 807;19;777;478;4 710;10 683;26 345;5 624;19;319;
05913  DORTMUND,STADT;254 470;191 088;60 066;3 096;363;220;17 711;60 102;45 164;109 289;17 117;30;1 551;915;8 215;17 850;25 249;6 869;30;627;
05914  HAGEN,STADT;87 800;66 750;20 189;774;124;87;6 392;21 352;15 710;37 618;5 009;9;633;364;2 902;6 155;8 313;2 109;9;223;
05915  HAMM,STADT;84 929;63 965;19 743;1 159;127;62;5 704;20 716;15 277;36 004;5 034;14;558;352;3 082;6 225;7 865;1 841;14;196;
05916  HERNE,STADT;70 343;55 761;13 519;1 032;99;31;5 539;17 547;12 231;29 628;3 660;4;351;250;2 063;4 315;5 431;1 192;4;154;
05954  ENNEPE-RUHR-KREIS;180 209;135 636;42 048;2 390;472;135;11 760;40 383;32 449;80 482;11 372;24;916;668;5 545;13 046;17 636;4 471;24;308;
05958  HOCHSAUERLANDKREIS;147 722;103 370;41 927;2 303;117;122;8 241;32 984;27 091;67 280;10 193;21;866;624;5 825;12 626;17 914;4 462;21;306;
05962  MAERKISCHER KREIS;229 431;169 454;57 102;2 648;356;227;14 081;51 076;42 234;104 246;14 025;39;1 473;887;7 651;17 714;24 258;5 787;39;506;
05966  OLPE;78 193;56 069;21 328;760;52;36;4 379;16 555;14 220;36 782;5 047;7;475;303;2 617;6 395;9 509;2 245;7;178;
05970  SIEGEN-WITTGENSTEIN;157 072;113 589;41 885;1 476;133;122;7 977;32 452;28 550;74 044;11 352;23;1 089;565;4 777;12 177;18 891;4 925;23;357;
05974  SOEST;164 512;118 457;43 098;2 814;199;143;10 868;40 820;30 008;71 298;9 016;12;1 092;844;6 714;13 214;17 802;3 904;12;423;
05978  UNNA;212 788;159 246;50 129;3 265;654;148;13 853;48 976;38 443;94 633;13 386;38;1 161;843;7 012;15 465;20 719;5 212;38;385;
