Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
BADEN-WUERTTEMBERG;;;;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;747 058;460 260;278 337;6 475;;;1 986;13 217;79 349;90 308;276 506;232 957;45 256;3 325;1 502;16 259;44 409;76 782;116 739;20 815;1 172
RB OBERPFALZ ;;;;;;;;;;;;;;;;;;;;;
09361 AMBERG,STADT ;23 757;15 580;7 909;162;;;106;399;2 263;2 625;8 569;7 986;1 626;91;44;362;1 102;2 020;3 587;740;36
09362 REGENSBURG,STADT ;73 388;44 483;27 793;758;;;354;1 279;6 396;7 556;24 007;25 747;7 320;327;157;1 310;3 533;6 110;12 897;3 625;120
09363 WEIDEN I.D.OPF.,STADT ;25 027;16 352;8 430;188;;;57;407;2 466;2 676;8 515;8 857;1 789;77;45;409;1 114;1 885;4 077;851;21
09371 AMBERG-SULZBACH ;66 006;42 204;23 065;546;;;191;1 118;7 005;7 699;25 584;20 699;3 002;260;118;1 336;3 523;6 708;9 904;1 308;98
09372 CHAM ;82 510;52 434;29 047;909;;;120;1 385;8 951;9 608;31 909;25 857;3 795;353;141;1 675;4 682;8 641;12 225;1 524;108
09373 NEUMARKT I.D.OPF. ;81 249;49 632;30 693;697;;;227;1 273;7 433;8 919;30 019;27 594;4 788;399;154;1 471;4 399;8 165;14 122;2 189;127
09374 NEUSTADT A.D.WALDNAAB ;61 588;39 915;21 058;501;;;114;956;6 268;6 830;23 971;19 747;3 144;280;100;1 246;3 229;6 079;8 964;1 283;112
09375 REGENSBURG ;117 654;73 214;42 607;1 495;;;338;1 724;10 212;13 125;44 088;40 270;6 802;476;221;2 303;6 516;11 583;18 921;2 822;172
09376 SCHWANDORF ;92 935;57 029;34 482;1 250;;;174;1 465;8 959;10 125;35 296;30 851;5 089;401;175;1 707;4 898;9 687;15 374;2 430;142
09377 TIRSCHENREUTH ;46 399;31 360;14 678;297;;;64;751;4 381;4 542;18 105;15 765;2 410;170;67;744;2 093;4 036;6 682;968;54
RB ZUSAMMEN ;670 513;422 203;239 762;6 803;;;1 745;10 757;64 334;73 705;250 063;223 373;39 765;2 834;1 222;12 563;35 089;64 914;106 753;17 740;990
RB OBERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09461 BAMBERG,STADT ;37 834;23 868;13 471;371;;;124;908;4 770;4 686;12 174;11 849;2 746;223;109;984;2 111;3 001;5 803;1 342;82
09462 BAYREUTH,STADT ;37 390;24 223;12 740;292;;;135;746;3 616;3 957;12 593;12 812;3 171;153;76;601;1 714;2 821;5 897;1 542;56
09463 COBURG,STADT ;24 677;15 420;8 954;225;;;78;417;2 275;2 421;7 754;8 953;2 418;104;33;341;977;1 625;4 553;1 370;30
09464 HOF,STADT ;23 625;16 741;6 628;182;;;74;347;2 131;2 283;7 848;8 516;2 240;82;29;340;927;1 427;3 104;762;23
09471 BAMBERG ;95 081;61 679;32 313;882;;;207;1 837;11 668;12 014;35 466;28 569;4 275;470;208;2 267;5 549;9 081;13 174;1 812;161
09472 BAYREUTH ;67 857;44 376;22 791;551;;;139;1 186;7 161;7 458;25 686;21 966;3 598;323;128;1 368;3 547;6 446;9 711;1 440;107
09473 COBURG ;55 302;38 717;15 891;571;;;123;965;6 196;5 951;20 586;17 804;3 049;240;84;1 017;2 527;4 089;6 980;1 075;73
09474 FORCHHEIM ;73 626;47 803;25 001;612;;;210;1 451;8 385;9 036;27 753;22 185;3 746;393;178;1 649;4 220;7 016;10 072;1 684;135
09475 HOF ;60 763;41 433;18 633;585;;;112;941;5 368;5 246;21 150;22 827;4 490;271;96;913;2 412;4 485;8 988;1 613;90
09476 KRONACH ;43 310;29 082;13 829;327;;;72;704;4 464;4 410;16 212;14 583;2 427;184;71;840;2 107;3 662;6 155;916;51
09477 KULMBACH ;47 201;30 920;15 667;473;;;141;946;5 114;5 189;17 068;15 577;2 665;230;95;958;2 377;4 110;6 805;1 199;89
09478 LICHTENFELS ;42 095;28 581;13 136;316;;;62;824;5 024;4 866;16 218;12 566;2 092;163;68;932;2 190;3 658;5 415;792;55
09479 WUNSIEDEL I.FICHTELGEB. ;44 905;31 255;13 204;331;;;115;684;3 952;4 325;15 724;16 729;2 886;175;67;631;1 774;3 132;6 448;1 061;55
RB ZUSAMMEN ;653 666;434 098;212 258;5 718;;;1 592;11 956;70 124;71 842;236 232;214 936;39 803;3 011;1 242;12 841;32 432;54 553;93 105;16 608;1 007
RB MITTELFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09561 ANSBACH,STADT ;23 750;14 882;8 522;264;;;82;426;2 686;2 943;8 347;7 290;1 745;84;40;549;1 335;2 086;3 515;951;23
09562 ERLANGEN,STADT ;52 845;33 650;18 573;393;;;229;1 180;5 724;6 191;18 044;16 999;3 778;182;146;1 085;2 879;4 490;8 003;1 798;67
09563 FUERTH,STADT ;59 393;40 015;18 653;454;;;271;1 172;6 411;7 031;20 929;18 697;4 317;234;116;1 150;2 959;4 678;7 869;1 714;91
09564 NUERNBERG,STADT ;235 325;151 291;81 485;1 520;;;1 029;5 122;25 847;28 224;77 700;75 164;19 415;1 020;572;4 729;12 185;18 662;35 190;9 428;419
09565 SCHWABACH,STADT ;24 321;16 326;7 723;145;;;127;666;2 610;2 840;8 218;7 679;1 642;233;76;449;1 225;1 849;3 297;719;65
09571 ANSBACH ;115 770;72 595;41 819;1 149;;;207;2 453;14 821;15 587;42 992;33 137;5 054;633;290;3 101;7 421;12 248;16 180;2 229;228
09572 ERLANGEN-HOECHSTADT ;85 986;54 421;30 573;675;;;317;1 710;9 092;10 085;30 522;27 203;5 773;423;195;1 763;4 824;7 808;12 815;2 899;155
09573 FUERTH ;72 200;49 445;22 001;512;;;242;1 488;7 500;8 236;26 540;23 113;4 213;332;161;1 281;3 634;5 839;9 334;1 548;126
09574 NUERNBERGER LAND ;103 304;67 560;34 653;746;;;345;2 107;10 410;11 712;36 409;34 060;6 866;557;252;1 945;5 147;8 747;15 278;2 946;216
09575 NEUSTADT/AISCH-WINDSHEIM ;61 969;37 527;23 634;602;;;206;1 361;8 045;8 531;23 079;17 449;2 589;341;167;1 809;4 277;7 145;8 914;1 164;104
09576 ROTH ;80 793;50 767;29 199;582;;;245;1 690;8 864;9 818;28 662;26 048;4 460;403;215;1 886;4 828;7 678;12 357;1 989;163
09577 WEISSENBURG-GUNZENHAUSEN ;57 871;36 504;20 737;509;;;121;1 325;7 366;7 747;21 184;16 764;2 640;322;193;1 549;3 768;5 770;8 106;1 154;127
RB ZUSAMMEN ;973 527;624 983;337 572;7 551;;;3 421;20 700;109 376;118 945;342 626;303 603;62 492;4 764;2 423;21 296;54 482;87 000;140 858;28 539;1 784
RB UNTERFRANKEN ;;;;;;;;;;;;;;;;;;;;;
09661 ASCHAFFENBURG,STADT ;42 639;26 520;15 467;424;;;228;900;4 817;4 864;13 020;12 499;5 876;161;67;746;1 925;3 194;6 240;3 192;58
09662 SCHWEINFURT,STADT ;26 962;16 929;9 566;325;;;142;589;3 348;3 537;8 994;7 878;2 209;102;67;568;1 502;2 127;4 025;1 191;39
09663 WUERZBURG,STADT ;61 920;38 851;21 952;860;;;257;1 456;7 084;7 562;20 239;19 248;4 907;341;175;1 263;3 312;5 024;9 559;2 395;138
09671 ASCHAFFENBURG ;111 171;72 435;37 373;1 062;;;301;2 322;13 004;13 662;39 683;34 200;6 686;452;193;2 053;5 561;10 209;16 090;3 031;147
09672 BAD KISSINGEN;66 206;41 245;23 966;848;;;147;1 347;8 591;8 781;25 331;18 440;2 799;325;171;1 659;4 188;7 224;9 256;1 259;147
09673 RHOEN-GRABFELD;51 188;30 348;19 948;695;;;197;931;6 117;6 927;19 845;14 574;2 141;278;108;1 331;3 372;5 900;8 069;1 038;85
09674 HASSBERGE ;54 986;32 714;21 383;793;;;96;976;7 256;7 370;20 905;15 624;2 109;290;114;1 601;3 734;6 303;8 477;993;103
09675 KITZINGEN ;57 054;36 318;19 823;696;;;217;1 359;8 539;7 975;20 664;15 059;2 600;288;151;1 589;3 673;5 629;7 450;1 145;118
09676 MILTENBERG ;79 829;50 876;27 900;781;;;272;1 655;10 250;10 788;29 214;22 895;3 910;310;165;1 767;4 785;8 034;11 172;1 783;115
09677 MAIN-SPESSART ;80 990;50 545;29 128;1 095;;;222;1 591;10 119;10 671;29 613;23 646;4 176;345;186;1 942;4 998;8 398;11 545;1 861;129
09678 SCHWEINFURT ;74 006;48 633;24 068;1 100;;;205;1 580;9 805;10 164;28 386;20 079;2 979;343;211;1 867;4 461;7 030;9 186;1 098;146
09679 WUERZBURG ;100 282;64 758;33 781;1 377;;;366;1 923;11 909;12 811;36 849;29 940;5 221;485;247;2 286;5 675;9 294;13 914;2 055;187
RB ZUSAMMEN ;807 233;510 172;284 355;10 056;;;2 650;16 629;100 839;105 112;292 743;234 082;45 613;3 720;1 855;18 672;47 186;78 366;114 983;21 041;1 412
RB SCHWABEN ;;;;;;;;;;;;;;;;;;;;;
09761 AUGSBURG,STADT ;129 486;85 487;41 696;1 564;;;739;2 579;13 091;15 174;43 690;41 321;11 640;522;213;2 039;5 994;10 225;17 892;4 957;217
09762 KAUFBEUREN,STADT ;22 746;14 950;7 467;235;;;94;406;2 229;2 667;8 298;7 337;1 459;92;58;445;1 200;2 042;3 086;549;42
09763 KEMPTEN(ALLGAEU),STADT ;36 566;22 861;13 206;310;;;189;520;3 347;4 116;12 144;12 872;3 035;198;77;708;1 886;3 056;6 023;1 330;82
09764 MEMMINGEN,STADT ;24 255;15 257;8 716;225;;;57;421;2 406;2 996;8 628;7 768;1 681;79;47;456;1 381;2 235;3 693;848;26
09771 AICHACH-FRIEDBERG ;80 270;51 715;27 460;801;;;294;1 580;8 449;9 846;29 216;25 088;4 811;360;181;1 773;4 538;7 454;11 310;1 973;148
09772 AUGSBURG ;152 972;101 971;48 832;1 433;;;736;2 918;15 376;18 025;54 521;49 755;9 859;693;352;2 691;7 630;13 032;21 013;3 648;292
09773 DILLINGEN A.D.DONAU ;60 048;38 964;20 334;580;;;170;1 135;6 642;7 903;23 046;17 657;2 827;185;125;1 263;3 491;6 030;8 064;1 198;70
09774 GUENZBURG ;77 142;48 460;27 909;589;;;184;1 287;7 944;9 453;29 182;24 175;4 070;334;113;1 374;4 329;8 144;11 874;1 894;104
09775 NEU-ULM ;101 521;67 074;33 436;834;;;177;1 731;10 332;11 662;38 630;30 855;6 847;292;118;1 697;5 105;9 812;13 703;2 765;112
09776 LINDAU (BODENSEE) ;48 782;31 994;16 292;351;;;145;1 046;5 832;6 308;17 620;14 285;2 668;270;167;1 297;2 932;4 201;6 391;1 107;100
09777 OSTALLGAEU ;84 344;53 134;29 999;905;;;306;1 601;8 823;10 698;30 774;26 811;4 260;539;272;2 199;5 329;7 914;12 169;1 798;218
09778 UNTERALLGAEU ;89 771;56 769;31 992;752;;;258;1 750;10 025;11 433;34 467;26 675;4 020;369;208;2 108;5 390;9 411;12 786;1 848;135
09779 DONAU-RIES ;85 186;53 344;30 852;704;;;286;1 718;10 547;11 313;31 447;24 376;4 690;379;194;2 171;5 378;8 887;11 828;2 150;162
09780 OBERALLGAEU ;93 537;59 413;33 258;660;;;206;1 757;9 146;11 278;33 154;31 050;5 340;681;289;2 449;5 708;8 261;13 951;2 220;259
RB ZUSAMMEN ;1 086 626;701 393;371 449;9 943;;;3 841;20 449;114 189;132 872;394 817;340 025;67 207;4 993;2 414;22 670;60 291;100 704;153 783;28 285;1 967
LAND INSGESAMT ;7 550 273;4 725 777;2 730 395;65 049;;;29 052;147 948;782 099;879 098;2 632 289;2 389 230;586 179;41 959;17 270;157 477;412 152;688 133;1 149 638;281 568;15 562
BERLIN ;;;;;;;;;;;;;;;;;;;;;
