;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige
12069 POTSDAM-MITTELMARK ;124.491;82.867;39.384;;;;;;;;;;;;;;;;;;
12070 PRIGNITZ ;45.015;30.711;13.702;;;;;;;;;;;;;;;;;;
12071 SPREE-NEISSE ;70.448;51.540;18.025;;;;;;;;;;;;;;;;;;
12072 TELTOW-FLAEMING ;99.646;67.897;29.779;;;;;;;;;;;;;;;;;;
12073 UCKERMARK ;67.702;49.209;17.445;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;1.407.031;989.696;391.203;;;;;;;;;;;;;;;;;;
BREMEN ;;;;;;;;;;;;;;;;;;;;;
04011 BREMEN, STADT ;240.790;159.722;76.427;;;;;;;;;;;;;;;;;;
04012 BREMERHAVEN,STADT ;49.398;33.760;14.581;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;290.188;193.482;91.008;;;;;;;;;;;;;;;;;;
HAMBURG ;;;;;;;;;;;;;;;;;;;;;
02000 HAMBURG ;783.255;504.715;265.809;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;783.255;504.715;265.809;;;;;;;;;;;;;;;;;;
HESSEN ;;;;;;;;;;;;;;;;;;;;;
RB DARMSTADT ;72133;45820;24954;;;;;;;;;;;;;;;;;;
06411 DARMSTADT,STADT ;333.768;186.420;141.909;;;;;;;;;;;;;;;;;;
06412  FRANKFURT AM MAIN,STADT;55.311;34.923;19.368;;;;;;;;;;;;;;;;;;
06413  OFFENBACH AM MAIN,STADT;144.754;92.655;49.752;;;;;;;;;;;;;;;;;;
06414 WIESBADEN,STADT ;168.710;113.408;52.700;;;;;;;;;;;;;;;;;;
06431 BERGSTRASSE ;183.533;123.648;56.454;;;;;;;;;;;;;;;;;;
06432 DARMSTADT-DIEBURG ;172.590;120.025;49.916;;;;;;;;;;;;;;;;;;
06433 GROSS-GERAU ;165.590;104.517;58.516;;;;;;;;;;;;;;;;;;
06434 HOCHTAUNUSKREIS ;250.734;165.612;81.040;;;;;;;;;;;;;;;;;;
06435 MAIN-KINZIG-KREIS ;184.579;112.882;69.397;;;;;;;;;;;;;;;;;;
06436 MAIN-TAUNUS-KREIS ;60.803;40.043;19.581;;;;;;;;;;;;;;;;;;
06437 ODENWALDKREIS ;209.956;140.117;66.359;;;;;;;;;;;;;;;;;;
06438 OFFENBACH ;118.752;78.953;37.912;;;;;;;;;;;;;;;;;;
06439 RHEINGAU-TAUNUS-KREIS ;185.403;122.323;60.241;;;;;;;;;;;;;;;;;;
06440 WETTERAUKREIS ;2.306.616;1.481.346;788.099;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;;;;;;;;;;;;;;;;;;;;;
RB GIESSEN ;;;;;;;;;;;;;;;;;;;;;
06531 GIESSEN ;148.945;95.912;50.220;;;;;;;;;;;;;;;;;;
06532 LAHN-DILL-KREIS ;159.274;104.274;52.833;;;;;;;;;;;;;;;;;;
06533 LIMBURG-WEILBURG ;108.695;69.115;37.810;;;;;;;;;;;;;;;;;;
06534 MARBURG-BIEDENKOPF ;139.059;92.884;44.095;;;;;;;;;;;;;;;;;;
06535 VOGELSBERGKREIS ;70.120;45.349;23.716;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;626.093;407.534;208.674;;;;;;;;;;;;;;;;;;
RB KASSEL ;;;;;;;;;;;;;;;;;;;;;
06611 KASSEL,STADT ;88.186;57.769;28.825;;;;;;;;;;;;;;;;;;
06631 FULDA ;137.811;88.477;47.436;;;;;;;;;;;;;;;;;;
06632 HERSFELD-ROTENBURG ;76.634;50.176;25.307;;;;;;;;;;;;;;;;;;
06633 KASSEL, LAND ;144.955;99.443;43.135;;;;;;;;;;;;;;;;;;
06634 SCHWALM-EDER-KREIS ;115.369;76.041;37.169;;;;;;;;;;;;;;;;;;
06635 WALDECK-FRANKENBERG ;101.708;65.887;34.012;;;;;;;;;;;;;;;;;;
06636 WERRA-MEISSNER-KREIS ;61.522;40.415;20.116;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;726.185;478.208;236.000;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;3.658.894;2.367.088;1.232.773;;;;;;;;;;;;;;;;;;
MECKLENBURG-VORPOMMERN ;;;;;;;;;;;;;;;;;;;;;
13003 ROSTOCK, STADT ;83.609;59.093;23.191;;;;;;;;;;;;;;;;;;
13004 SCHWERIN, STADT ;43.273;29.741;12.798;;;;;;;;;;;;;;;;;;
13071 MECKLENBURGISCHE SEENPLA. ;142.517;95.412;45.275;;;;;;;;;;;;;;;;;;
13072 ROSTOCK ;122.514;78.719;42.137;;;;;;;;;;;;;;;;;;
13073 VORPOMMERN-RUEGEN ;119.946;80.754;37.598;;;;;;;;;;;;;;;;;;
13074 NORDWESTMECKLENBURG ;87.946;57.961;28.645;;;;;;;;;;;;;;;;;;
13075 VORPOMMERN-GREIFSWALD ;123.287;85.978;35.658;;;;;;;;;;;;;;;;;;
13076 LUDWIGSLUST-PARCHIM ;125.720;80.600;43.132;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;848.812;568.258;268.434;;;;;;;;;;;;;;;;;;
NIEDERSACHSEN ;;;;;;;;;;;;;;;;;;;;;
RB BRAUNSCHWEIG ;;;;;;;;;;;;;;;;;;;;;
03101 BRAUNSCHWEIG,STADT ;136.300;84.276;49.479;;;;;;;;;;;;;;;;;;
03102 SALZGITTER,STADT ;53.957;36.164;16.678;;;;;;;;;;;;;;;;;;
03103 WOLFSBURG,STADT ;139.983;89.708;47.329;;;;;;;;;;;;;;;;;;
03151 GIFHORN ;103.246;64.159;37.450;;;;;;;;;;;;;;;;;;
03153 GOSLAR ;78512;52432;24830;;;;;;;;;;;;;;;;;;
03154 HELMSTEDT ;54.200;34.923;18.337;;;;;;;;;;;;;;;;;;
03155 NORTHEIM ;85.449;57.890;26.361;;;;;;;;;;;;;;;;;;
03157 PEINE ;81.204;55.139;24.402;;;;;;;;;;;;;;;;;;
03158 WOLFENBUETTEL ;73.109;49.280;22.509;;;;;;;;;;;;;;;;;;
03159 GOETTINGEN ;180.125;120.997;56.273;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;986.085;644.968;323.648;;;;;;;;;;;;;;;;;;
RB HANNOVER ;;;;;;;;;;;;;;;;;;;;;
03241 HANNOVER ;572.392;383.723;177.695;;;;;;;;;;;;;;;;;;
03251 DIEPHOLZ ;135.900;88.576;44.860;;;;;;;;;;;;;;;;;;
03252 HAMELN-PYRMONT ;89.808;62.368;25.887;;;;;;;;;;;;;;;;;;
03254 HILDESHEIM ;157.375;108.369;46.565;;;;;;;;;;;;;;;;;;
03255 HOLZMINDEN ;43.880;30.270;12.868;;;;;;;;;;;;;;;;;;
03256 NIENBURG(WESER) ;75.042;48.157;25.171;;;;;;;;;;;;;;;;;;
03257 SCHAUMBURG ;98.156;67.671;28.603;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.172.553;789.134;361.649;;;;;;;;;;;;;;;;;;
RB LUENEBURG ;;;;;;;;;;;;;;;;;;;;;
03351 CELLE ;106.433;68.576;36.173;;;;;;;;;;;;;;;;;;
03352 CUXHAVEN ;121.802;77.342;41.840;;;;;;;;;;;;;;;;;;
03353 HARBURG ;160.346;101.640;55.747;;;;;;;;;;;;;;;;;;
03354 LUECHOW-DANNENBERG ;29.879;18.099;10.912;;;;;;;;;;;;;;;;;;
03355 LUENEBURG ;101.101;63.849;35.613;;;;;;;;;;;;;;;;;;
03356 OSTERHOLZ ;70.048;46.728;21.915;;;;;;;;;;;;;;;;;;
03357 ROTENBURG(WUEMME) ;108.661;62.996;43.742;;;;;;;;;;;;;;;;;;
03358 HEIDEKREIS ;85.308;53.009;30.820;;;;;;;;;;;;;;;;;;
03359 STADE ;120.636;77.863;40.877;;;;;;;;;;;;;;;;;;
03360 UELZEN ;55.234;36.220;18.219;;;;;;;;;;;;;;;;;;
03361 VERDEN ;84.286;54.716;28.246;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.043.734;661.038;364.104;;;;;;;;;;;;;;;;;;
RB WESER-EMS ;;;;;;;;;;;;;;;;;;;;;
03401 DELMENHORST,STADT ;41.417;28.944;11.548;;;;;;;;;;;;;;;;;;
03402 EMDEN,STADT ;24.051;16.223;7.343;;;;;;;;;;;;;;;;;;
03403 OLDENBURG(OLDENB),STADT ;86.139;53.411;30.537;;;;;;;;;;;;;;;;;;
03404 OSNABRUECK,STADT ;82.596;53.222;27.518;;;;;;;;;;;;;;;;;;
03405 WILHELMSHAVEN,STADT ;39.327;27.815;10.675;;;;;;;;;;;;;;;;;;
03451 AMMERLAND ;77.341;47.612;28.119;;;;;;;;;;;;;;;;;;
03452 AURICH ;113.696;72.205;38.391;;;;;;;;;;;;;;;;;;
03453 CLOPPENBURG ;96.120;49.106;45.143;;;;;;;;;;;;;;;;;;
03454 EMSLAND ;192.441;102.639;85.655;;;;;;;;;;;;;;;;;;
03455 FRIESLAND ;63.752;40.803;21.279;;;;;;;;;;;;;;;;;;
03456 GRAFSCHAFT BENTHEIM ;81.171;41.075;37.258;;;;;;;;;;;;;;;;;;
03457 LEER ;99.465;60.998;35.763;;;;;;;;;;;;;;;;;;
03458 OLDENBURG(OLDENBURG) ;80.772;49.316;29.580;;;;;;;;;;;;;;;;;;
03459 OSNABRUECK ;222.669;141.486;77.317;;;;;;;;;;;;;;;;;;
03460 VECHTA ;83.800;45.973;36.456;;;;;;;;;;;;;;;;;;
03461 WESERMARSCH ;52.028;32.488;18.221;;;;;;;;;;;;;;;;;;
03462 WITTMUND ;34.902;22.143;11.819;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.471.687;885.459;552.622;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;4.674.059;2.980.599;1.602.023;;;;;;;;;;;;;;;;;;
NORDRHEIN-WESTFALEN ;;;;;;;;;;;;;;;;;;;;;
RB DUESSELDORF ;;;;;;;;;;;;;;;;;;;;;
05111 DUESSELDORF, STADT ;307.571;183.176;118.266;;;;;;;;;;;;;;;;;;
05112 DUISBURG,STADT ;227.480;161.379;59.774;;;;;;;;;;;;;;;;;;
05113 ESSEN,STADT ;285.071;201.491;77.238;;;;;;;;;;;;;;;;;;
05114 KREFELD,STADT ;117.025;80.198;33.748;;;;;;;;;;;;;;;;;;
05116 MOENCHENGLADBACH,STADT ;135.634;92.570;39.506;;;;;;;;;;;;;;;;;;
05117 MUELHEIM A.D.RUHR,STADT ;92.119;66.136;24.104;;;;;;;;;;;;;;;;;;
05119 OBERHAUSEN,STADT ;109.180;80.704;25.833;;;;;;;;;;;;;;;;;;
05120 REMSCHEID,STADT ;60.429;42.210;17.080;;;;;;;;;;;;;;;;;;
05122 SOLINGEN,STADT ;90.324;63.933;24.431;;;;;;;;;;;;;;;;;;
